,URL,Pagerank,Health Score,Canonical 
0,https://chromaela.com/privacy-policy/,98,888,https://chromaela.com/privacy-policy
1,https://chromaela.com/careers/,74,858,https://chromaela.com/careers
2,https://chromaela.com/about/,68,852,https://chromaela.com/about
3,https://chromaela.com/locations/mcdonough/,57,870,https://chromaela.com/locations/mcdonough
4,https://chromaela.com/stories/,53,863,https://chromaela.com/stories
5,https://chromaela.com/ga-pre-k-in-fayetteville-ga/,0,847,https://chromaela.com/programs/ga-pre-k/
6,https://chromaela.com/preschool-in-palmetto-ga/,0,832,https://chromaela.com/programs/preschool/
7,https://chromaela.com/parents-day-out-in-clermont-ga/,0,847,https://chromaela.com/programs/parents-day-out/
8,https://chromaela.com/preschool-in-east-cobb-ga/,0,847,https://chromaela.com/programs/preschool/
9,https://chromaela.com/pre-k-prep-in-milton-ga/,0,825,https://chromaela.com/programs/pre-k-prep/
10,https://chromaela.com/infant-care-in-newnan-ga/,0,847,https://chromaela.com/programs/infant-care/
11,https://chromaela.com/preschool-in-cumming-ga/,0,832,https://chromaela.com/programs/preschool/
12,https://chromaela.com/toddler-care-in-clermont-ga/,0,847,https://chromaela.com/programs/toddler-care/
13,https://chromaela.com/pre-k-prep-in-marietta-ga/,0,825,https://chromaela.com/programs/pre-k-prep/
14,https://chromaela.com/preschool-in-clermont-ga/,0,847,https://chromaela.com/programs/preschool/
15,https://chromaela.com/pre-k-prep-in-lithia-springs-ga/,0,839,https://chromaela.com/programs/pre-k-prep/
16,https://chromaela.com/after-school-in-dahlonega-ga/,0,847,https://chromaela.com/programs/after-school/
17,https://chromaela.com/ga-pre-k-in-johns-creek-ga/,0,839,https://chromaela.com/programs/ga-pre-k/
18,https://chromaela.com/after-school-in-roswell-ga/,0,839,https://chromaela.com/programs/after-school/
19,https://chromaela.com/infant-care-in-duluth-ga/,0,847,https://chromaela.com/programs/infant-care/
20,https://chromaela.com/infant-care-in-griffin-ga/,0,847,https://chromaela.com/programs/infant-care/
21,https://chromaela.com/preschool-in-milton-ga/,0,832,https://chromaela.com/programs/preschool/
22,https://chromaela.com/pre-k-prep-in-jasper-ga/,0,847,https://chromaela.com/programs/pre-k-prep/
23,https://chromaela.com/ga-pre-k-in-ballground-ga/,0,832,https://chromaela.com/programs/ga-pre-k/
24,https://chromaela.com/infant-care-in-tyrone-ga/,0,847,https://chromaela.com/programs/infant-care/
25,https://chromaela.com/preschool-in-ballground-ga/,0,832,https://chromaela.com/programs/preschool/
26,https://chromaela.com/toddler-care-in-alpharetta-ga/,0,832,https://chromaela.com/programs/toddler-care/
27,https://chromaela.com/toddler-care-in-north-hall-ga/,0,847,https://chromaela.com/programs/toddler-care/
28,https://chromaela.com/preschool-in-duluth-ga/,0,847,https://chromaela.com/programs/preschool/
29,https://chromaela.com/preschool-in-waleska-ga/,0,847,https://chromaela.com/programs/preschool/
30,https://chromaela.com/toddler-care-in-morrow-ga/,0,847,https://chromaela.com/programs/toddler-care/
31,https://chromaela.com/parents-day-out-in-peachtree-city-ga/,0,847,https://chromaela.com/programs/parents-day-out/
32,https://chromaela.com/after-school-in-gainesville-ga/,0,847,https://chromaela.com/programs/after-school/
33,https://chromaela.com/ga-pre-k-in-decatur-ga/,0,847,https://chromaela.com/programs/ga-pre-k/
34,https://chromaela.com/preschool-in-powder-springs-ga/,0,832,https://chromaela.com/programs/preschool/
35,https://chromaela.com/pre-k-prep-in-griffin-ga/,0,847,https://chromaela.com/programs/pre-k-prep/
36,https://chromaela.com/preschool-in-jonesboro-ga/,0,832,https://chromaela.com/programs/preschool/
37,https://chromaela.com/toddler-care-in-murrayville-ga/,0,847,https://chromaela.com/programs/toddler-care/
38,https://chromaela.com/preschool-in-newnan-ga/,0,847,https://chromaela.com/programs/preschool/
39,https://chromaela.com/infant-care-in-gainesville-ga/,0,839,https://chromaela.com/programs/infant-care/
40,https://chromaela.com/parents-day-out-in-cumming-ga/,0,818,https://chromaela.com/programs/parents-day-out/
41,https://chromaela.com/toddler-care-in-snellville-ga/,0,839,https://chromaela.com/programs/toddler-care/
42,https://chromaela.com/parents-day-out-in-fayetteville-ga/,0,832,https://chromaela.com/programs/parents-day-out/
43,https://chromaela.com/ga-pre-k-in-cumming-ga/,0,818,https://chromaela.com/programs/ga-pre-k/
44,https://chromaela.com/parents-day-out-in-lithia-springs-ga/,0,832,https://chromaela.com/programs/parents-day-out/
45,https://chromaela.com/parents-day-out-in-norcross-ga/,0,832,https://chromaela.com/programs/parents-day-out/
46,https://chromaela.com/infant-care-in-lovejoy-ga/,0,825,https://chromaela.com/programs/infant-care/
47,https://chromaela.com/parents-day-out-in-lawrenceville-ga/,0,832,https://chromaela.com/programs/parents-day-out/
48,https://chromaela.com/after-school-in-rex-ga/,0,832,https://chromaela.com/programs/after-school/
49,https://chromaela.com/after-school-in-newnan-ga/,0,839,https://chromaela.com/programs/after-school/
50,https://chromaela.com/toddler-care-in-cumming-ga/,0,825,https://chromaela.com/programs/toddler-care/
51,https://chromaela.com/pre-k-prep-in-ballground-ga/,0,825,https://chromaela.com/programs/pre-k-prep/
52,https://chromaela.com/toddler-care-in-decatur-ga/,0,839,https://chromaela.com/programs/toddler-care/
53,https://chromaela.com/toddler-care-in-marietta-ga/,0,825,https://chromaela.com/programs/toddler-care/
54,https://chromaela.com/after-school-in-lithia-springs-ga/,0,839,https://chromaela.com/programs/after-school/
55,https://chromaela.com/ga-pre-k-in-snellville-ga/,0,839,https://chromaela.com/programs/ga-pre-k/
56,https://chromaela.com/after-school-in-stone-mountain-ga/,0,839,https://chromaela.com/programs/after-school/
57,https://chromaela.com/after-school-in-waleska-ga/,0,839,https://chromaela.com/programs/after-school/
58,https://chromaela.com/ga-pre-k-in-clermont-ga/,0,839,https://chromaela.com/programs/ga-pre-k/
59,https://chromaela.com/camp-summer-winter-fall-in-rex-ga/,0,868,https://chromaela.com/programs/camp-summer-winter-fall/
60,https://chromaela.com/toddler-care-in-ballground-ga/,0,843,https://chromaela.com/programs/toddler-care/
61,https://chromaela.com/toddler-care-in-gainesville-ga/,0,847,https://chromaela.com/programs/toddler-care/
62,https://chromaela.com/preschool-in-decatur-ga/,0,847,https://chromaela.com/programs/preschool/
63,https://chromaela.com/parents-day-out-in-powder-springs-ga/,0,843,https://chromaela.com/programs/parents-day-out/
64,https://chromaela.com/parents-day-out-in-rex-ga/,0,847,https://chromaela.com/programs/parents-day-out/
65,https://chromaela.com/after-school-in-decatur-ga/,0,847,https://chromaela.com/programs/after-school/
66,https://chromaela.com/toddler-care-in-palmetto-ga/,0,843,https://chromaela.com/programs/toddler-care/
67,https://chromaela.com/after-school-in-norcross-ga/,0,847,https://chromaela.com/programs/after-school/
68,https://chromaela.com/ga-pre-k-in-gainesville-ga/,0,847,https://chromaela.com/programs/ga-pre-k/
69,https://chromaela.com/pre-k-prep-in-lilburn-ga/,0,847,https://chromaela.com/programs/pre-k-prep/
70,https://chromaela.com/camp-summer-winter-fall-in-dahlonega-ga/,0,868,https://chromaela.com/programs/camp-summer-winter-fall/
71,https://chromaela.com/parents-day-out-in-hampton-ga/,0,847,https://chromaela.com/programs/parents-day-out/
72,https://chromaela.com/preschool-in-stone-mountain-ga/,0,847,https://chromaela.com/programs/preschool/
73,https://chromaela.com/infant-care-in-stone-mountain-ga/,0,847,https://chromaela.com/programs/infant-care/
74,https://chromaela.com/infant-care-in-clermont-ga/,0,847,https://chromaela.com/programs/infant-care/
75,https://chromaela.com/preschool-in-lithia-springs-ga/,0,847,https://chromaela.com/programs/preschool/
